Base,Rating,Prices,cat,Positive,Negative
Edu19,3.5,4.888518519,edu,4.79,0.21
Edu2,3.5,4.331111111,edu,4.79,0.21
Edu20,3.5,4.9714814810000005,edu,4.79,0.21
Edu21,3.5,4.974626866,edu,4.79,0.21
Edu3,3.5,4.107037037,edu,4.79,0.21
Edu4,3.5,4.061111111000001,edu,4.79,0.21
Edu5,3.5,4.165925926,edu,4.79,0.21
Edu6,3.5,4.2937037039999995,edu,4.55,0.45
Edu7,3.5,4.546296296,edu,4.55,0.45
Edu8,3.5,4.301481481000001,edu,4.55,0.45
Edu9,3.5,4.338148148,edu,4.55,0.45
Soft1,4.503846154,5.570226647999999,soft,4.55,0.45
Soft10,4.66,6.270634921,soft,4.55,0.45
Soft11,4.633333333,8.117063492,soft,4.32,0.78
Soft12,4.542857143,7.63100907,soft,4.32,0.78
Soft13,4.797142857,10.53356009,soft,4.32,0.78
Soft14,4.727619048,7.718197279,soft,4.32,0.78
Soft15,4.823809524,6.339172335,soft,4.32,0.78
Soft16,4.825714286,9.245578231,soft,4.32,0.78
Soft17,4.918095238,9.373469387,soft,4.32,0.78
Soft18,5.0,9.304761905,soft,4.32,0.78
Soft2,4.320952381000001,7.6075396820000005,soft,4.32,0.78
Soft3,3.972380952,7.565929705,soft,4.32,0.78
Soft4,4.1857142860000005,10.73633787,soft,4.32,0.78
Soft5,4.595238095,8.143367347,soft,4.32,0.78
Soft6,4.628571429,6.292290249,soft,4.32,0.78
Soft7,4.465714286,9.54223356,soft,4.32,0.78
Soft8,4.436190476,8.210090702,soft,4.32,0.78
Soft9,4.66952381,7.619217687000001,soft,4.32,0.78
